Drug Name	Drug Synonyms	Targets	PubCHEM ID
Paclitaxel	BMS-181339-01	Microtubules	36314
Parthenolide		NFKB1	5420805
Pazopanib	GW786034	VEGFR,PDGFRA,PDGFRB,KIT	10113978
PD-0325901	PD-0325901	MEK1/2	9826528
PD-0332991	PD-0332991	CDK4/6	5330286
PD-173074	PD-173074	FGFR1/3	1401
PF-02341066	Crizotinib,KIN001-023	MET,ALK	11496366
PF-4708671		p70S6KA	
PF-562271	(KIN001-205)	FAK	11713159
PHA-665752		MET	10461815
PLX4720		BRAF	24180719
Pyrimethamine		Dihydrofolatereductase(DHFR)	4993
QS11	QS11	ARFGAP	NoMatch
Rapamycin	AY-22989,Sirolimus,WY-090217	MTOR	5284616
RDEA119	RDEA119	MEK1/2	44182295
RO-3306		CDK1	44450571
Roscovitine	Seliciclib	CDKs	160355
S-Trityl-L-cysteine	NSC83265	KIF11	76044
Salubrinal	3-Phenyl-N-[2,2,2-trichloro-1-[[(8-quinolinylamino)thioxomethyl]amino]ethyl]-2-propenamide	GADD34-PP1Cphosphatase	5717801
SB216763	SB216763	GSK3A/B	
SB590885		BRAF	11316960
Shikonin	Shikonin	unknown	5208
SL0101-1		RSK,AURKB,PIM3	
Sorafenib	BAY-43-9006,Nexavar	PDGFRA,PDGFRB,KDR,KIT,FLT3	216239
Sunitinib	Sutent	PDGFRA,PDGFRB,KDR,KIT,FLT3	5329102
Temsirolimus	CCI-779	MTOR	6918289
Thapsigargin		ATPase,Ca++transporting,cardiacmuscle,slowtwitch2	446378
Tipifarnib		Farnesyl-transferase(FNTA)	159324
TW37		BCL-2,BCL-XL	11455910
Vinblastine	Vinblastinesulphate	Microtubules	6710780
Vinorelbine		Microtubules	60780
Vorinostat	SAHA	HDACinhibitorClassI,IIa,IIb,IV	5311
VX-680	MK-045,MK-0457,VX-68	AuroraA/B/C,FLT3,ABL1,JAK2,	5494449
VX-702		p38	10341154
WH-4-023	KIN001-112	SRCfamily,ABL	11844351
WO2009093972	AZD6482	PI3Kb	
WZ-1-84	KIN001-123	BMX	49821040
XMD8-85	XMD8-85	ERK5(MK07)	46844147
Z-LLNle-CHO	Z-L-Norleucine-CHO	g-secretase	16760646
ZM-447439	ZM447439	AURKB	9914412
